Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_3243_1 si:ch1073-406l10.2  have too few sites, skip
Group_2766_0 puf60  have too few sites, skip
Group_1637_1 nrbp2b  have too few sites, skip
Group_5580_0 cdv3  have too few sites, skip
Group_5341_0 lztfl1  have too few sites, skip
Group_3_16 ccr9b  have too few sites, skip
Group_4421_0 pxdc1b  have too few sites, skip
Group_2464_1 tmx3  have too few sites, skip
Group_3871_1 ccdc102a  have too few sites, skip
Group_2458_1 dok4  have too few sites, skip
Group_2641_0 wdr45b  have too few sites, skip
Group_71_1 bmp6  have too few sites, skip
Group_7037_0 thtpa  have too few sites, skip
Group_2602_1 pabpn1  have too few sites, skip
Group_843_2 ramp3  have too few sites, skip
Group_7283_0 pomp  have too few sites, skip
Group_2298_1 waca  have too few sites, skip
Group_337_4 cul2  have too few sites, skip
Group_4_7 rab18  have too few sites, skip
Group_2997_1 mkxa  have too few sites, skip
Group_1098_2 il10rb  have too few sites, skip
Group_6290_0 si:rp71-84d19.3  have too few sites, skip
Group_6483_0 nifk  have too few sites, skip
Group_71_27 inhbb  have too few sites, skip
Group_8380_0 si:dkey-3d4.3  have too few sites, skip
Group_5447_0 zc3h15  have too few sites, skip
Group_5221_0 rbm45  have too few sites, skip
Group_38_44 cx41.8  have too few sites, skip
Group_2085_0 ncf2  have too few sites, skip
Group_6325_0 rps20  have too few sites, skip
Group_7253_0 rmdn1  have too few sites, skip
Group_5633_0 zgc:101819  have too few sites, skip
Group_511_2 ppp2r2ca  have too few sites, skip
Group_3325_1 zgc:123096  have too few sites, skip
Group_22_38 stk17b  have too few sites, skip
Group_3080_0 lypd1  have too few sites, skip
Group_2474_0 slc35f5  have too few sites, skip
Group_7159_0 zgc:136439  have too few sites, skip
Group_7654_0 ddt  have too few sites, skip
Group_138_0 arhgap12b  have too few sites, skip
Group_3530_0 nags  have too few sites, skip
Group_1699_2 rnf11a  have too few sites, skip
Group_923_0 efnb2a  have too few sites, skip
Group_5958_0 vopp1  have too few sites, skip
Group_1850_2 lancl2  have too few sites, skip
Group_125_0 olfm3a  have too few sites, skip
Group_3639_1 snx16  have too few sites, skip
Group_176_8 cpne3  have too few sites, skip
Group_656_0 pfkpa  have too few sites, skip
Group_51_42 loc107382657  have too few sites, skip
Group_1157_1 ccny  have too few sites, skip
Group_2475_1 lmbr1  have too few sites, skip
Group_943_0 shhb  have too few sites, skip
Group_6577_0 dctpp1  have too few sites, skip
Group_6371_0 rps3a  have too few sites, skip
Group_2867_1 mab21l2  have too few sites, skip
Group_8110_0 tmem187  have too few sites, skip
Group_415_1 shisa9a  have too few sites, skip
Group_24_33 drd5  have too few sites, skip
Group_56_42 rhoh  have too few sites, skip
Group_5038_1 rpl9  have too few sites, skip
Group_20_32 ptpn9b  have too few sites, skip
Group_183_14 c1ql3b  have too few sites, skip
Group_5976_0 ift22  have too few sites, skip
Group_1153_1 pdgfaa  have too few sites, skip
Group_64_12 dusp10  have too few sites, skip
Group_4790_0 slc35f6  have too few sites, skip
Group_156_5 kcnk3  have too few sites, skip
Group_353_2 ezrb  have too few sites, skip
Group_5288_0 lpgat1  have too few sites, skip
Group_245_8 nek2  have too few sites, skip
Group_3469_0 slc30a1a  have too few sites, skip
Group_1867_1 capza1b  have too few sites, skip
Group_59_32 adgrl3.1  have too few sites, skip
Group_268_4 loc107393889  have too few sites, skip
Group_453_5 si:ch211-130m23.5  have too few sites, skip
Group_2659_0 chic2  have too few sites, skip
Group_970_0 loc107382209  have too few sites, skip
Group_7207_0 zgc:101679  have too few sites, skip
Group_459_4 emp1  have too few sites, skip
Group_9217_0 si:ch211-243a20.4  have too few sites, skip
Group_330_3 plppr2  have too few sites, skip
Group_3529_0 elof1  have too few sites, skip
Group_654_0 nfix  have too few sites, skip
Group_1321_2 evpl  have too few sites, skip
Group_4155_0 ttc26  have too few sites, skip
Group_2779_1 slc25a38b  have too few sites, skip
Group_2308_1 ero1b  have too few sites, skip
Group_4456_0 fbxw2  have too few sites, skip
Group_1402_2 reep5  have too few sites, skip
Group_5315_0 prrc1  have too few sites, skip
Group_812_3 lmnb1  have too few sites, skip
Group_342_7 slc27a6  have too few sites, skip
Group_147_20 ppp3ccb  have too few sites, skip
Group_6417_0 pbdc1  have too few sites, skip
Group_288_1 fam19a1a  have too few sites, skip
Group_2500_0 ugp2a  have too few sites, skip
Group_5749_0 vps54  have too few sites, skip
Group_160_2 si:zfos-323e3.4  have too few sites, skip
Group_375_0 ap1m2  have too few sites, skip
Group_2359_0 zgc:158803  have too few sites, skip
Group_6972_0 pane1  have too few sites, skip
Group_877_2 adap2  have too few sites, skip
Group_1460_0 rhbdl3  have too few sites, skip
Group_3733_0 znf207b  have too few sites, skip
Group_2806_0 hn1a  have too few sites, skip
Group_784_2 sumo2b  have too few sites, skip
Group_36_32 ddx39ab  have too few sites, skip
Group_4966_0 trappc5  have too few sites, skip
Group_123_16 si:dkey-28b4.8  have too few sites, skip
Group_9222_0 si:dkey-9i23.8  have too few sites, skip
Group_1085_4 irf2bp2b  have too few sites, skip
Group_216_5 npepps  have too few sites, skip
Group_7242_0 zgc:77929  have too few sites, skip
Group_3769_0 mrpl4  have too few sites, skip
Group_3470_0-Group_3470_1 atpv0e2  have too few sites, skip
Group_3191_0 loc107382399  have too few sites, skip
