Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_2475_1 lmbr1  have too few sites, skip
Group_6577_0 dctpp1  have too few sites, skip
Group_6371_0 rps3a  have too few sites, skip
Group_2867_1 mab21l2  have too few sites, skip
Group_8110_0 tmem187  have too few sites, skip
Group_3832_1 cpped1  have too few sites, skip
Group_415_1 shisa9a  have too few sites, skip
Group_24_33 drd5  have too few sites, skip
Group_56_42 rhoh  have too few sites, skip
Group_5037_0 rfc1  have too few sites, skip
Group_5038_1 rpl9  have too few sites, skip
Group_183_14 c1ql3b  have too few sites, skip
Group_944_1 gpt2l  have too few sites, skip
Group_1153_1 pdgfaa  have too few sites, skip
Group_64_12 dusp10  have too few sites, skip
Group_5395_0 hlx1  have too few sites, skip
Group_156_5 kcnk3  have too few sites, skip
Group_353_2 ezrb  have too few sites, skip
Group_5288_0 lpgat1  have too few sites, skip
Group_3469_0 slc30a1a  have too few sites, skip
Group_1561_1 cttnbp2nlb  have too few sites, skip
Group_1867_1 capza1b  have too few sites, skip
Group_2831_1 apeh  have too few sites, skip
Group_5079_0 gtf2e2  have too few sites, skip
Group_268_4 loc107393889  have too few sites, skip
Group_2659_0 chic2  have too few sites, skip
Group_3128_0 ociad1  have too few sites, skip
Group_3301_0-Group_3301_1 bglap  have too few sites, skip
Group_970_0 loc107382209  have too few sites, skip
Group_2547_3 si:ch211-243a20.3  have too few sites, skip
Group_2732_1 suz12b  have too few sites, skip
Group_330_3 plppr2  have too few sites, skip
Group_5961_0 pld6  have too few sites, skip
Group_3529_0 elof1  have too few sites, skip
Group_4_18 rab3da  have too few sites, skip
Group_33_5 loc107382227  have too few sites, skip
Group_5920_0 dand5  have too few sites, skip
Group_654_0 nfix  have too few sites, skip
Group_4155_0 ttc26  have too few sites, skip
Group_2647_2 hand2  have too few sites, skip
Group_2308_1 ero1b  have too few sites, skip
Group_1402_2 reep5  have too few sites, skip
Group_147_20 ppp3ccb  have too few sites, skip
Group_6417_0 pbdc1  have too few sites, skip
Group_4020_0 xpo7  have too few sites, skip
Group_2200_0 suclg2  have too few sites, skip
Group_2684_1 mdh1aa  have too few sites, skip
