Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_8134_0 loc107378189  have too few sites, skip
Group_2067_1 xrn2  have too few sites, skip
Group_404_7 flrt2  have too few sites, skip
Group_2829_0 glrx5  have too few sites, skip
Group_7110_0 prkrip1  have too few sites, skip
Group_6079_0 pla2g7  have too few sites, skip
Group_5541_0 acbd6  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_27_14 ches1  have too few sites, skip
Group_6165_0 gtf2a1  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_950_0 sptlc2b  have too few sites, skip
Group_985_0 runx2b  have too few sites, skip
Group_57_27 opn8b  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_1060_2 mfsd2b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_21_16 trib2  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_1328_2 fermt1  have too few sites, skip
Group_71_5 bmp2b  have too few sites, skip
Group_91_13 plcb1  have too few sites, skip
Group_6124_0 lamp5  have too few sites, skip
Group_16_19 pak5  have too few sites, skip
Group_3608_1 ltc4s  have too few sites, skip
Group_233_6 b4galt7  have too few sites, skip
Group_94_19 loc107378104  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_2708_1 prpf39  have too few sites, skip
Group_467_4 fkbp3  have too few sites, skip
Group_1438_0 mdga2  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_1016_0 dio3  have too few sites, skip
Group_1135_0 syndig1l  have too few sites, skip
Group_5109_0 rps29  have too few sites, skip
Group_2995_1 mgat2  have too few sites, skip
Group_1685_1 wdr20b  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_1719_0 chac1  have too few sites, skip
Group_43_27 ino80  have too few sites, skip
Group_5052_0 vps18  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_1565_0 zfyve1  have too few sites, skip
Group_5060_0 dcaf4l2  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_281_6 ctgfa  have too few sites, skip
Group_1449_0 adck3  have too few sites, skip
Group_461_1 fam46ab  have too few sites, skip
Group_5663_0 ccnc  have too few sites, skip
Group_134_5 pou3f2a  have too few sites, skip
Group_980_2 tmem63a  have too few sites, skip
Group_7380_0 mrps18a  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_2233_0 naga  have too few sites, skip
Group_3140_1 wdr26b  have too few sites, skip
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_5246_1 si:ch211-57i17.5  have too few sites, skip
Group_39_32 psmc6  have too few sites, skip
Group_7169_0 srp9  have too few sites, skip
Group_3401_0 tcf23  have too few sites, skip
Group_564_4 slc5a6a  have too few sites, skip
Group_1025_1-Group_1025_2 snap25  have too few sites, skip
Group_536_2 stmn4  have too few sites, skip
Group_59_27 loc107378232  have too few sites, skip
Group_5312_0 brox  have too few sites, skip
Group_1651_0 hmbox1b  have too few sites, skip
Group_2682_0 pnocb  have too few sites, skip
Group_6_82 cdc42bpab  have too few sites, skip
Group_1195_0 nfkbiaa  have too few sites, skip
Group_4994_0 amd1  have too few sites, skip
Group_3402_1 tnfrsf21  have too few sites, skip
Group_80_5 gnal  have too few sites, skip
Group_0_55 loc107397287  have too few sites, skip
Group_99_4 galnt11  have too few sites, skip
Group_711_1 prkag2a  have too few sites, skip
Group_5978_0 xrcc2  have too few sites, skip
Group_883_2 kmt2ca  have too few sites, skip
Group_6653_0 xylb  have too few sites, skip
Group_6654_0 nub1  have too few sites, skip
Group_46_19 crygn2  have too few sites, skip
Group_7087_0 sugct  have too few sites, skip
Group_565_1 clvs1  have too few sites, skip
Group_235_3 f13a1a.1  have too few sites, skip
Group_1297_3 nrn1a  have too few sites, skip
Group_3935_0 fars2  have too few sites, skip
Group_1510_2 si:ch211-152c8.5  have too few sites, skip
Group_2599_1 cyb5a  have too few sites, skip
Group_7067_0 fam69c  have too few sites, skip
Group_534_3 murcb  have too few sites, skip
Group_1430_1 ssr1  have too few sites, skip
Group_1506_0 ezh2  have too few sites, skip
Group_337_5 cul1b  have too few sites, skip
Group_8709_0 zgc:194621  have too few sites, skip
Group_649_2 si:ch211-230g15.5  have too few sites, skip
Group_2149_0 cldn11b  have too few sites, skip
Group_290_4 slc7a14b  have too few sites, skip
Group_1814_2 rpl22l1  have too few sites, skip
Group_1793_1 eif5a  have too few sites, skip
Group_1260_1 pld1b  have too few sites, skip
Group_5682_0 eif2s3  have too few sites, skip
Group_13_60 klhl15  have too few sites, skip
Group_42_30 chrnd  have too few sites, skip
Group_4179_0 eif1axa  have too few sites, skip
Group_5039_0 acot9.2  have too few sites, skip
Group_2704_1 tnfsf10  have too few sites, skip
Group_1219_0 nceh1b  have too few sites, skip
Group_9121_0 loc107383103  have too few sites, skip
Group_190_11 irf9  have too few sites, skip
Group_1427_1 psme2  have too few sites, skip
Group_7306_0 lsm5  have too few sites, skip
Group_6343_0 avl9  have too few sites, skip
Group_13_8 kbtbd2  have too few sites, skip
Group_7325_0 rnf152  have too few sites, skip
Group_49_4 cdh20  have too few sites, skip
