Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_3296_1 fam92a1  have too few sites, skip
Group_21_17 trib1  have too few sites, skip
Group_13_19 klhl38a  have too few sites, skip
Group_8899_0 baalc  have too few sites, skip
Group_5751_0 tmem64  have too few sites, skip
Group_5891_0 zgc:111986  have too few sites, skip
Group_4107_0 gmnn  have too few sites, skip
Group_904_0 fam65b  have too few sites, skip
Group_1192_0 hey1  have too few sites, skip
Group_1014_2 tpd52  have too few sites, skip
Group_6024_0 mrpl53  have too few sites, skip
Group_177_17 fabp11a  have too few sites, skip
Group_2847_1 fam8a1a  have too few sites, skip
Group_8233_0 ccdc167  have too few sites, skip
Group_584_2 wasf1  have too few sites, skip
Group_2299_1 cdc40  have too few sites, skip
Group_2996_1 mettl24  have too few sites, skip
Group_5672_0 wtap  have too few sites, skip
Group_5675_0 sod2  have too few sites, skip
Group_627_0 acat2  have too few sites, skip
Group_323_9 tcp1  have too few sites, skip
Group_105_14 plekhg1  have too few sites, skip
Group_1595_2 smek1  have too few sites, skip
Group_880_1 mycn  have too few sites, skip
Group_5855_0 mrpl19  have too few sites, skip
Group_293_3 eva1a  have too few sites, skip
Group_1497_1 tram2  have too few sites, skip
Group_9628_0 unknown  have too few sites, skip
Group_44_6 grik2  have too few sites, skip
Group_7417_1 ripply2  have too few sites, skip
Group_5444_0 mrap2a  have too few sites, skip
Group_121_11 lrg1  have too few sites, skip
Group_56_7 rhob  have too few sites, skip
Group_1573_1 laptm4a  have too few sites, skip
Group_137_16 matn3a  have too few sites, skip
Group_1709_2 elmsan1a  have too few sites, skip
Group_6364_1 churc1  have too few sites, skip
Group_6364_0 churc1  have too few sites, skip
Group_2451_1 znf106a  have too few sites, skip
Group_1637_0 nrbp1  have too few sites, skip
Group_1572_2 si:dkey-12h9.6  have too few sites, skip
Group_443_2 rhag  have too few sites, skip
Group_5554_0 rd3  have too few sites, skip
Group_4773_0 taf1a  have too few sites, skip
Group_5044_0 rnf8  have too few sites, skip
Group_5519_0 tcte1  have too few sites, skip
Group_1187_1 tmem151ba  have too few sites, skip
Group_1195_1 nfkbie  have too few sites, skip
Group_5995_0 slc35b2  have too few sites, skip
Group_6474_0 psmg2  have too few sites, skip
Group_659_3 hsp90ab1  have too few sites, skip
Group_2856_0 rbm25b  have too few sites, skip
Group_5027_0 eif2s1a  have too few sites, skip
Group_6496_0 atp6v1d  have too few sites, skip
Group_2346_0 gphnb  have too few sites, skip
Group_26_32 pdgfrb  have too few sites, skip
Group_7009_0 slc35a4  have too few sites, skip
Group_1287_0 ndst1a  have too few sites, skip
Group_4222_0 rbm22  have too few sites, skip
Group_692_1 myoz3a  have too few sites, skip
Group_30_8 arl3l2  have too few sites, skip
Group_3612_1 fut8  have too few sites, skip
Group_7983_0 ptrhd1  have too few sites, skip
Group_3536_0 tbc1d32  have too few sites, skip
Group_651_2 hsdl1  have too few sites, skip
Group_38_33 cx34.5  have too few sites, skip
Group_38_36-Group_38_37 loc107396001  have too few sites, skip
Group_6736_0 arv1  have too few sites, skip
Group_3329_1 fam89a  have too few sites, skip
Group_6436_0 exoc8  have too few sites, skip
Group_7529_0 zgc:194224  have too few sites, skip
Group_133_11 scara5  have too few sites, skip
Group_5918_0 pbk  have too few sites, skip
Group_2135_1 esco2  have too few sites, skip
Group_6824_0 ccdc25  have too few sites, skip
Group_546_1 dnmt3aa  have too few sites, skip
Group_155_8 loc107377778  have too few sites, skip
Group_17_9 kif3c  have too few sites, skip
Group_4_29 rab10  have too few sites, skip
Group_5807_0 nup43  have too few sites, skip
Group_2595_1 pcmt  have too few sites, skip
Group_5464_0 lrp11  have too few sites, skip
Group_677_1 tfap2b  have too few sites, skip
Group_677_3 tfap2d  have too few sites, skip
Group_627_2 hadhb  have too few sites, skip
Group_14_13 esr2a  have too few sites, skip
Group_7794_0 knstrn  have too few sites, skip
Group_59_19 adgrg11  have too few sites, skip
Group_5981_0 mtif3  have too few sites, skip
Group_7019_0 abracl  have too few sites, skip
Group_5491_0 clu  have too few sites, skip
Group_1064_2 scara3  have too few sites, skip
Group_1670_1 grem1a  have too few sites, skip
Group_4801_0 aven  have too few sites, skip
Group_3940_0 emc7  have too few sites, skip
Group_3221_1 katnbl1  have too few sites, skip
Group_1560_1 pmelb  have too few sites, skip
Group_6035_0 sarnp  have too few sites, skip
Group_2639_0 hsd17b10  have too few sites, skip
Group_192_10 avpr2  have too few sites, skip
Group_131_20 slc16a1b  have too few sites, skip
Group_860_3 pip4k2c  have too few sites, skip
Group_254_4 igfbp6b  have too few sites, skip
Group_4929_0 letmd1  have too few sites, skip
Group_4544_0 zgc:56699  have too few sites, skip
Group_2321_0 grasp  have too few sites, skip
Group_206_10 dgkaa  have too few sites, skip
Group_5527_0 rnf41  have too few sites, skip
Group_15_46 ankrd52a  have too few sites, skip
Group_6668_0 cs  have too few sites, skip
Group_1467_0 si:dkey-190g6.2  have too few sites, skip
Group_309_8 dpp10  have too few sites, skip
Group_6670_0 si:ch211-210c8.6  have too few sites, skip
Group_7350_0 dazap2  have too few sites, skip
Group_134_8 pou6f1  have too few sites, skip
Group_1717_0 tfcp2  have too few sites, skip
Group_825_0 csrnp2  have too few sites, skip
Group_3107_0 slc48a1a  have too few sites, skip
Group_20_23 ptpn22  have too few sites, skip
Group_7377_0 si:dkey-205h13.1  have too few sites, skip
Group_5259_0 pink1  have too few sites, skip
Group_2_81 loc107390419  have too few sites, skip
Group_334_0 thbs1b  have too few sites, skip
Group_946_2 slc10a1  have too few sites, skip
Group_2868_1 max  have too few sites, skip
Group_5394_0 fntb  have too few sites, skip
Group_86_10 rgs6  have too few sites, skip
Group_1693_1 si:dkey-126h10.1  have too few sites, skip
Group_6412_0 bpnt1  have too few sites, skip
Group_747_0 ypel5  have too few sites, skip
Group_336_7 ttll2  have too few sites, skip
Group_2240_0 msra  have too few sites, skip
Group_1983_1 cad  have too few sites, skip
Group_113_11 dnajc5gb  have too few sites, skip
Group_7540_0 uts1  have too few sites, skip
Group_1196_0 slc30a2  have too few sites, skip
Group_2393_0 znf512  have too few sites, skip
Group_565_2 clvs2  have too few sites, skip
Group_177_0 fabp7b  have too few sites, skip
Group_434_6 zgc:101840  have too few sites, skip
Group_99_17 galnt14  have too few sites, skip
Group_2274_0 angel2  have too few sites, skip
Group_2522_2 vash2  have too few sites, skip
Group_7022_0 nsl1  have too few sites, skip
Group_3242_0 batf3  have too few sites, skip
Group_5867_0 pex3  have too few sites, skip
Group_5869_0 adat2  have too few sites, skip
Group_2898_0 aig1  have too few sites, skip
Group_2961_0 ahsa1a  have too few sites, skip
Group_10_51 gpr132b  have too few sites, skip
Group_16_16 pak6b  have too few sites, skip
Group_9_65 myh6  have too few sites, skip
Group_3538_1 unknown  have too few sites, skip
Group_5170_0 zbtb1  have too few sites, skip
Group_1999_2 zbtb25  have too few sites, skip
Group_1515_1 mboat2b  have too few sites, skip
Group_159_0 zic1  have too few sites, skip
Group_159_17 zic4  have too few sites, skip
Group_1781_1 si:ch73-206p6.1  have too few sites, skip
Group_1165_0 plod2  have too few sites, skip
Group_202_9 slc9a9  have too few sites, skip
Group_101_16 pcolce2b  have too few sites, skip
Group_2830_1 u2surp  have too few sites, skip
Group_59_13 adgrg6  have too few sites, skip
Group_4099_0 vta1  have too few sites, skip
Group_3790_0 gje1  have too few sites, skip
Group_95_8 serpina10a  have too few sites, skip
Group_7669_0 tmem251  have too few sites, skip
Group_1000_3 tmem30ab  have too few sites, skip
Group_407_6 syncrip  have too few sites, skip
Group_7305_0 ndufaf7  have too few sites, skip
Group_4629_0 rps7  have too few sites, skip
Group_4063_1 rnaseh1  have too few sites, skip
Group_1047_2 unknown  have too few sites, skip
Group_6925_0 slc35d3  have too few sites, skip
Group_6561_0 naa20  have too few sites, skip
Group_5069_0 crnkl1  have too few sites, skip
Group_8134_0 loc107378189  have too few sites, skip
Group_2067_1 xrn2  have too few sites, skip
Group_7110_0 prkrip1  have too few sites, skip
Group_4969_0 ints9  have too few sites, skip
Group_6079_0 pla2g7  have too few sites, skip
Group_6078_0 sf3b6  have too few sites, skip
Group_5541_0 acbd6  have too few sites, skip
Group_206_2 dgkq  have too few sites, skip
Group_580_2 mgat4b  have too few sites, skip
Group_7594_0 maml1  have too few sites, skip
Group_976_1 trak2  have too few sites, skip
Group_16_29 stradb  have too few sites, skip
Group_209_7 nbeal1  have too few sites, skip
Group_3815_1 fdx1  have too few sites, skip
Group_388_4 cpo  have too few sites, skip
Group_27_14 ches1  have too few sites, skip
Group_6165_0 gtf2a1  have too few sites, skip
Group_4887_0 snw1  have too few sites, skip
Group_9153_0 loc107378154  have too few sites, skip
Group_891_3 ccdc85cb  have too few sites, skip
Group_8172_0 si:dkey-261l7.2  have too few sites, skip
Group_403_2 clic5b  have too few sites, skip
Group_985_0 runx2b  have too few sites, skip
Group_4959_0 mut  have too few sites, skip
Group_467_0 fkbp1b  have too few sites, skip
Group_2575_0 ubxn2a  have too few sites, skip
Group_21_16 trib2  have too few sites, skip
Group_1518_0 napbb  have too few sites, skip
Group_5097_0 trmt6  have too few sites, skip
Group_71_5 bmp2b  have too few sites, skip
Group_6124_0 lamp5  have too few sites, skip
Group_16_19 pak5  have too few sites, skip
Group_7761_0 ccdc69  have too few sites, skip
Group_233_6 b4galt7  have too few sites, skip
Group_94_19 loc107378104  have too few sites, skip
Group_3519_1 bahd1  have too few sites, skip
Group_7528_0 loc107378102  have too few sites, skip
Group_700_4 evl  have too few sites, skip
Group_2508_0 yy1b  have too few sites, skip
Group_1505_2 entpd5b  have too few sites, skip
Group_0_109 znf410  have too few sites, skip
Group_117_12 actr10  have too few sites, skip
Group_4335_0 naa30  have too few sites, skip
Group_146_12 otx2  have too few sites, skip
Group_2708_1 prpf39  have too few sites, skip
Group_467_4 fkbp3  have too few sites, skip
