Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_6661_0 sec11a  have too few sites, skip
Group_3099_2 si:ch211-112g6.4  have too few sites, skip
Group_1379_2 dis3l  have too few sites, skip
Group_6855_0 rpl12  have too few sites, skip
Group_31_23 kcng4  have too few sites, skip
Group_1734_0 vps13c  have too few sites, skip
Group_5563_0 agrp  have too few sites, skip
Group_1648_2 tppp3  have too few sites, skip
Group_421_3 hsd11b2  have too few sites, skip
Group_7434_1 si:ch73-28h20.1  have too few sites, skip
Group_4436_0 nsmce4a  have too few sites, skip
Group_2726_0 cu695232.1  have too few sites, skip
Group_1669_1 cfl1l  have too few sites, skip
Group_5966_0 mgme1  have too few sites, skip
Group_2969_0 si:dkey-76k16.5  have too few sites, skip
Group_1172_1 cib2  have too few sites, skip
Group_6135_0 cog8  have too few sites, skip
Group_3923_0 wdr59  have too few sites, skip
Group_3776_0 gpatch1  have too few sites, skip
Group_797_1 cebpa  have too few sites, skip
Group_797_3 cebpg  have too few sites, skip
Group_17_54 kifc3  have too few sites, skip
Group_6397_0 gtf2a2  have too few sites, skip
Group_536_3 stmn4l  have too few sites, skip
Group_956_0 ptp4a1  have too few sites, skip
Group_5591_0 ltv1  have too few sites, skip
Group_323_5 cct4  have too few sites, skip
Group_6921_0 spcs3  have too few sites, skip
Group_0_74 znf710b  have too few sites, skip
Group_1677_2 idh2  have too few sites, skip
Group_2607_0 tmed3  have too few sites, skip
